id|country|capital
1|Afghanistan|Kabul
2|Albania|Tirana
3|Algeria|Algiers
4|Andorra|Andorra la Vella
5|Angola|Luanda
6|Antigua and Barbuda|Saint John's
7|Argentina|Buenos Aires
8|Armenia|Yerevan
9|Australia|Canberra
10|Austria|Vienna
11|Azerbaijan|Baku
12|Bahamas|Nassau
13|Bahrain|Manama
14|Bangladesh|Dhaka
15|Barbados|Bridgetown
16|Belarus|Minsk
17|Belgium|Brussels
18|Belize|Belmopan
19|Benin|Porto-Novo
20|Bhutan|Thimphu
21|Bolivia|Sucre
22|Bosnia and Herzegovina|Sarajevo
23|Botswana|Gaborone
24|Brazil|Brasilia
25|Brunei|Bandar Seri Begawan
26|Bulgaria|Sofia
27|Burkina Faso|Ouagadougou
28|Burundi|Gitega
29|Cabo Verde|Praia
30|Cambodia|Phnom Penh
31|Cameroon|Yaounde
32|Canada|Ottawa
33|Central African Republic|Bangui
34|Chad|N'Djamena
35|Chile|Santiago
36|China|Beijing
37|Colombia|Bogotá
38|Comoros|Moroni
39|Congo, Democratic Republic of the|Kinshasa
40|Congo, Republic of the|Brazzaville
41|Costa Rica|San Jose
42|Cote d'Ivoire|Yamoussoukro
43|Croatia|Zagreb
44|Cuba|Havana
45|Cyprus|Nicosia
46|Czechia|Prague
47|Denmark|Copenhagen
48|Djibouti|Djibouti
49|Dominica|Roseau
50|Dominican Republic|Santo Domingo
51|Ecuador|Quito
52|Egypt|Cairo
53|El Salvador|San Salvador
54|Equatorial Guinea|Malabo
55|Eritrea|Asmara
56|Estonia|Tallinn
57|Eswatini|Mbabane
58|Ethiopia|Addis Ababa
59|Fiji|Suva
60|Finland|Helsinki
61|France|Paris
62|Gabon|Libreville
63|Gambia|Banjul
64|Georgia|Tbilisi
65|Germany|Berlin
66|Ghana|Accra
67|Greece|Athens
68|Grenada|Saint George's
69|Guatemala|Guatemala City
70|Guinea|Conakry
71|Guinea-Bissau|Bissau
72|Guyana|Georgetown
73|Haiti|Port-au-Prince
74|Honduras|Tegucigalpa
75|Hungary|Budapest
76|Iceland|Reykjavik
77|India|New Delhi
78|Indonesia|Jakarta
79|Iran|Tehran
80|Iraq|Baghdad
81|Ireland|Dublin
82|Israel|Jerusalem
83|Italy|Rome
84|Jamaica|Kingston
85|Japan|Tokyo
86|Jordan|Amman
87|Kazakhstan|Astana
88|Kenya|Nairobi
89|Kiribati|Tarawa
90|Kosovo|Pristina
91|Kuwait|Kuwait City
92|Kyrgyzstan|Bishkek
93|Laos|Vientiane
94|Latvia|Riga
95|Lebanon|Beirut
96|Lesotho|Maseru
97|Liberia|Monrovia
98|Libya|Tripoli
99|Liechtenstein|Vaduz
100|Lithuania|Vilnius
101|Luxembourg|Luxembourg
102|Madagascar|Antananarivo
103|Malawi|Lilongwe
104|Malaysia|Kuala Lumpur
105|Maldives|Male
106|Mali|Bamako
107|Malta|Valletta
108|Marshall Islands|Majuro
109|Mauritania|Nouakchott
110|Mauritius|Port Louis
111|Mexico|Mexico City
112|Micronesia|Palikir
113|Moldova|Chisinau
114|Monaco|Monaco
115|Mongolia|Ulaanbaatar
116|Montenegro|Podgorica
117|Morocco|Rabat
118|Mozambique|Maputo
119|MyanmarNaypyidaw|Naypyidaw
120|Namibia|Windhoek
121|Nauru|Yaren District
122|Nepal|Kathmandu
123|Netherlands|Amsterdam
124|New Zealand|Wellington
125|Nicaragua|Managua
126|Niger|Niamey
127|Nigeria|Abuja
128|North Korea|Pyongyang
129|North Macedonia|Skopje
130|Norway|Oslo
131|Oman|Muscat
132|Pakistan|Islamabad
133|Palau|Ngerulmud
134|Palestine|Jerusalem
135|Panama|Panama City
136|Papua New Guinea|Port Moresby
137|Paraguay|Asunción
138|Peru|Lima
139|Philippines|Manila
140|Poland|Warsaw
141|Portugal|Lisbon
142|Qatar|Doha
143|Romania|Bucharest
144|Russia|Moscow
145|Rwanda|Kigali
146|Saint Kitts and Nevis|Basseterre
147|Saint Lucia|Castries
148|Saint Vincent and the Grenadines|Kingstown
149|Samoa|Apia
150|San Marino|San Marino
151|Sao Tome and Principe|São Tomé
152|Saudi Arabia|Riyadh
153|Senegal|Dakar
154|Serbia|Belgrade
155|Seychelles|Victoria
156|Sierra Leone|Freetown
157|Singapore|Singapore
158|Slovakia|Bratislava
159|Slovenia|Ljubljana
160|Solomon Islands|Honiara
161|Somalia|Mogadishu
162|South Africa|Pretoria
163|South Korea|Seoul
164|South Sudan|Juba
165|Spain|Madrid
166|Sri Lanka|Sri Jayawardenepura Kotte
167|Sudan|Khartoum
168|Suriname|Paramaribo
169|Sweden|Stockholm
170|Switzerland|Bern
171|Syria|Damascus
172|Taiwan|Taipei
173|Tajikistan|Dushanbe
174|Tanzania|Dodoma
175|Thailand|Bangkok
176|Timor-Leste|Dili
177|Togo|Lomé
178|Tonga|Nukuʻalofa
179|Trinidad and Tobago|Port of Spain
180|Tunisia|Tunis
181|Turkey|Ankara
182|Turkmenistan|Ashgabat
183|Tuvalu|Funafuti
184|Uganda|Kampala
185|Ukraine|Kyiv
186|United Arab Emirates|Abu Dhabi
187|United Kingdom|London
188|United States of America|Washington, D.C.
189|Uruguay|Montevideo
190|Uzbekistan|Tashkent
191|Vanuatu|Port Vila
192|Vatican City|Vatican City
193|Venezuela|Caracas
194|Vietnam|Hanoi
195|Yemen|Sana'a
196|Zambia|Lusaka
197|Zimbabwe|Harare
